id,Month,Year,Season,Quarter,Is_Holiday,Occupancy
1,January,2021,Summer,Q1,true,5888.7
2,February,2021,Summer,Q1,false,7909.4
3,March,2021,Autumn,Q1,false,3350.1
4,April,2021,Autumn,Q2,false,2648.0
5,May,2021,Autumn,Q2,false,1867.8
6,June,2021,Winter,Q2,false,654.9
7,July,2021,Winter,Q3,false,5502.8
8,August,2021,Winter,Q3,false,5482.8
9,September,2021,Spring,Q3,false,7096.9
10,October,2021,Spring,Q4,false,1343.2
11,November,2021,Spring,Q4,false,5570.3
12,December,2021,Summer,Q4,true,5986.1
13,January,2022,Summer,Q1,true,6908.8
14,February,2022,Summer,Q1,false,7410.7
15,March,2022,Autumn,Q1,false,4905.4
16,April,2022,Autumn,Q2,false,6892.6
17,May,2022,Autumn,Q2,false,675.4
18,June,2022,Winter,Q2,false,2566.2
19,July,2022,Winter,Q3,false,6425.6
20,August,2022,Winter,Q3,false,8587.3
21,September,2022,Spring,Q3,false,5916.8
22,October,2022,Spring,Q4,false,448.4
23,November,2022,Spring,Q4,false,8854.1
24,December,2022,Summer,Q4,true,3326.0
25,January,2023,Summer,Q1,true,7013.3
26,February,2023,Summer,Q1,false,7332.4
27,March,2023,Autumn,Q1,false,517.6
28,April,2023,Autumn,Q2,false,1925.5
29,May,2023,Autumn,Q2,false,8071.3
30,June,2023,Winter,Q2,false,3007.7
31,July,2023,Winter,Q3,false,7706.3
32,August,2023,Winter,Q3,false,3201.6
33,September,2023,Spring,Q3,false,409.3
34,October,2023,Spring,Q4,false,9460.6
35,November,2023,Spring,Q4,false,8667.6
36,December,2023,Summer,Q4,true,6247.2
37,January,2024,Summer,Q1,true,1729.6
38,February,2024,Summer,Q1,false,9989.6
39,March,2024,Autumn,Q1,false,1718.7
40,April,2024,Autumn,Q2,false,2212.7
41,May,2024,Autumn,Q2,false,6924.3
42,June,2024,Winter,Q2,false,4276.7
43,July,2024,Winter,Q3,false,3750.3
